ZRC,Part,Length,Volume,Measurer
41213_2,Head,2.46E-01,4.33E-03,
41213_2,Thorax,4.32E-01,1.83E-02,
41213_2,Abdomen,9.62E-01,8.06E-02,
41213_3,Head,2.60E-01,5.93E-03,
41213_3,Thorax,3.80E-01,1.92E-02,
41213_3,Abdomen,9.12E-01,3.99E-02,
41213_4,Head,2.28E-01,2.41E-03,
41213_4,Thorax,3.52E-01,1.22E-02,
41213_4,Abdomen,8.11E-01,3.89E-02,
41213_5,Head,2.05E-01,1.56E-03,
41213_5,Thorax,3.14E-01,7.56E-03,
41213_5,Abdomen,3.43E-01,3.80E-03,
41213_6,Head,2.65E-01,3.63E-03,
41213_6,Thorax,3.60E-01,1.28E-02,
41213_6,Abdomen,8.00E-01,3.42E-02,
41213_1,Head,2.41E-01,1.81E-03,
41213_1,Thorax,3.25E-01,8.23E-03,
41213_1,Abdomen,6.05E-01,1.40E-02,
