ZRC,Part,Length,Volume,Measurer
46211,Head,0.45515,0.01983,CL
46211,Thorax,0.63013,0.04823,CL
46211,Abdomen,0.64699,0.02171,CL
342555,Head,0.63951,0.05133,CL
342555,Thorax,1.07693,0.30496,CL
342555,Abdomen,1.24089,0.251,CL
30070,Head,2.4893,4.2511,CL
30070,Thorax,5.86468,38.22482,CL
30070,Abdomen,6.5959,23.39205,CL
30070,Ovipositor,6.95499,0.56517,CL
44080,Head,0.3173,0.01263,CL
44080,Thorax,0.58099,0.02764,CL
44080,Abdomen,1.16572,0.02316,CL
39830,Head,1.38405,0.53971,CL
39830,Thorax,2.46515,3.05649,CL
39830,Abdomen,3.96805,2.86041,CL
39830,Ovipositor,3.42151,0.10493,CL
59218,Head,2.91568,5.54723,CL
59218,Thorax,4.97088,29.16737,CL
59218,Abdomen,8.78667,35.58674,CL
315258,Head,2.2394,2.44381,CL
315258,Thorax,4.41364,18.28962,CL
315258,Abdomen,6.9901,15.26857,CL
318541,Head,0.27901,0.00345,CL
318541,Thorax,0.52814,0.0308,CL
318541,Abdomen,0.90208,0.05364,CL
345582,Head,0.26142,0.00633,CL
345582,Thorax,0.38465,0.01337,CL
345582,Abdomen,0.57916,0.00857,CL
ZRCMIS0004070,Head,0.19008,0.00263,CL
ZRCMIS0004070,Thorax,0.21532,0.00372,CL
ZRCMIS0004070,Abdomen,0.26685,0.00437,CL
46211,Head,0.448,0.0186,NL
46211,Thorax,0.595,0.038,NL
46211,Abdomen,0.617,0.0203,NL
342555,Head,0.644,0.0468,NL
342555,Thorax,1.06,0.262,NL
342555,Abdomen,1.19,0.241,NL
30070,Head,2.41,5.41,NL
30070,Thorax,5.91,36.8,NL
30070,Abdomen,6.61,23.4,NL
30070,Ovipositor,6.93,0.384,NL
44080,Head,0.323,0.0132,NL
44080,Thorax,0.545,0.0245,NL
44080,Abdomen,1.16,0.0188,NL
39830,Head,1.46,0.596,NL
39830,Thorax,2.52,3.17,NL
39830,Abdomen,4.54,2.44,NL
39830,Ovipositor,3.42,0.058,NL
59218,Head,3.01,5.37,NL
59218,Thorax,4.86,26.4,NL
59218,Abdomen,8.83,34.6,NL
315258,Head,2.34,2.11,NL
315258,Thorax,4.21,14.7,NL
315258,Abdomen,7.03,16.4,NL
318541,Head,0.286,0.00378,NL
318541,Thorax,0.504,0.0237,NL
318541,Abdomen,0.895,0.046,NL
345582,Head,0.266,0.00637,NL
345582,Thorax,0.489,0.0158,NL
345582,Abdomen,0.573,0.00754,NL
ZRCMIS0004070,Head,0.189,0.00229,NL
ZRCMIS0004070,Thorax,0.198,0.00288,NL
ZRCMIS0004070,Abdomen,0.259,0.0035,NL
